NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
81;2023;4;20;9;6;2;05;1;:;S;N;4;2;;;S;6;2;S;06;4;N;4;04;3;07;2;;;;3;249,15030
81;2023;4;20;9;6;2;12;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;224,15330
81;2023;4;20;9;1;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;2;09;4;1;1;24;2;191,51850
82;2023;4;48;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;9;08;4;2;1;40;1;170,90560
82;2023;4;48;9;6;1;09;1;:;N;N;4;1;1;3;N;;;;;;;1;02;4;08;4;2;1;0;2;200,03230
82;2023;4;48;9;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;173,61480
83;2023;4;48;9;1;1;04;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;273,40970
83;2023;4;48;9;6;1;11;1;:;N;N;4;1;1;4;N;;;;;;;1;02;5;04;5;;;0;2;260,20790
83;2023;4;48;9;1;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;01;1;04;1;;;68;1;270,64780
83;2023;4;48;9;1;1;03;1;:;S;N;4;4;;;N;;;;;;;;;;;;;;;3;264,88450
84;2023;4;20;9;1;1;18;1;:;N;N;2;2;;;N;;;;;;;4;07;8;04;2;;;;1;126,04760
85;2023;4;48;1;6;1;13;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;226,82340
86;2023;4;01;9;1;1;06;1;:;N;N;4;3;;;N;;;;;;;4;07;;;;;;;3;158,68000
86;2023;4;01;9;6;1;05;1;:;S;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;38;3;86,14740
86;2023;4;01;9;6;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;21;2;86,50830
86;2023;4;01;9;1;1;13;1;:;N;N;3;1;;;N;;;;;;;4;04;7;10;2;;;;1;98,26240
87;2023;4;01;9;6;1;08;1;:;N;N;4;1;2;2;N;;;;;;;1;02;2;09;4;1;5;35;2;82,63790
87;2023;4;01;9;1;1;08;1;:;N;N;4;1;1;4;N;;;;;;;1;02;6;09;4;1;5;21;1;106,51160
87;2023;4;01;9;6;1;01;1;:;N;;;;;;;;;;;;;;;;;;;;;3;86,94090
87;2023;4;01;9;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;86,94090
88;2023;4;20;9;6;3;11;1;:;N;N;4;1;1;2;N;;;;;;;1;01;5;09;4;1;5;45;2;206,83630
88;2023;4;20;9;1;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;5;09;4;1;5;29;1;197,99560
88;2023;4;20;9;6;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;2;10;4;2;;;3;208,65360
88;2023;4;20;9;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;181,63100
89;2023;4;20;3;1;2;16;1;:;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;138,88070
90;2023;4;01;9;1;1;17;1;:;N;N;2;1;;;N;;;;;;;4;04;5;10;2;;;;1;57,22400
91;2023;4;01;2;1;2;18;1;:;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;152,90030
92;2023;4;48;9;6;2;13;1;:;N;N;4;1;2;2;N;;;;;;;1;02;9;10;4;2;1;30;2;187,34960
92;2023;4;48;9;1;1;13;1;:;N;N;4;1;;;N;;;;;;;4;04;8;04;4;2;;;1;199,11390
93;2023;4;01;2;6;1;11;1;:;N;S;4;1;1;4;N;;;;;;;1;02;3;05;4;2;1;32;1;182,31570
94;2023;4;48;1;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;08;4;2;1;40;3;183,19300
94;2023;4;48;1;6;1;18;1;:;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;1;283,30390
95;2023;4;48;1;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;30;1;177,94370
95;2023;4;48;1;6;1;10;1;:;N;N;4;1;1;3;N;;;;;;;1;02;4;08;4;2;1;7;2;163,74210
96;2023;4;48;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;30;2;142,43190
96;2023;4;48;9;1;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;10;4;2;1;40;1;130,02950
96;2023;4;48;9;1;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;138,19480
96;2023;4;48;9;6;1;06;1;:;N;N;4;2;2;2;S;2;2;S;03;12;S;1;03;2;09;4;1;5;2;3;193,74860
97;2023;4;48;9;1;1;13;1;:;N;N;4;1;1;4;N;;;;;;;1;02;9;09;4;1;5;23;1;205,46450
98;2023;4;20;9;6;1;06;1;:;N;S;4;2;2;2;S;2;2;S;07;3;S;1;03;2;10;2;;;5;1;199,30720
99;2023;4;48;1;6;1;09;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;05;4;2;1;39;1;212,39940
99;2023;4;48;1;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;209,42550
99;2023;4;48;1;1;1;09;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;03;4;2;1;40;2;219,54700
